"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_IMMUNOGLOBULIN_COMPLEX",1e-50,6.58e-48,NA,0.836567843640138,3.59657350819412,124,"IGHG1;IGKC;IGHG2;JCHAIN;IGKV4-1;IGLC2;IGHV3-23;IGLC3;IGHA1;IGLV3-21;IGHV4-39;IGKV3D-11;IGLV1-40;IGKV3-20;IGHA2;IGHV3-74;IGLV2-14;CD79A;IGLV2-11;IGLV3-1;IGKV1-5;IGHV4-59;IGHV3-15;IGKV1-17;IGKV2D-29;IGLV3-19;IGHV2-70;IGHV2-5;IGLV2-8;IGHG3;IGHV3-21;IGHV3-72;IGHV1-18;IGKV1-9;IGLV1-51;IGHV6-1;IGKV1-27;IGLV6-57;IGHV4-61;IGHV3-49;IGHV3-11;IGHV5-51;IGLV1-47;IGHG4;IGLV7-46;IGHV3-20;IGHV3-64D;IGKV3D-15;IGHV3-7;IGHV3-73;IGLV4-69;IGLV3-25;IGKV3D-20;IGHV4-34;IGHV3-48;IGLV7-43;IGLV1-44;IGHV2-26;IGLV2-23;IGKV1-39;IGHV3-66;IGLV3-10;IGHV3-13;IGHV5-10-1;IGHV3-33;IGKV1-16;IGLL5;VPREB3;IGLV3-9;IGHV1-58;IGHV3-43;IGLV4-60;IGKV1-6;IGKV2D-24;IGKV2-24;IGLV3-16;IGLV2-18;IGHV1-69D;IGHV4-28;IGHV4-4;IGKV1-12;IGHV1-24;IGHV1-3;IGHM;IGLV1-36;IGLV1-50;IGKV1D-12;IGLV3-27;IGLC6;IGLV3-12;IGKV1D-42;IGKJ1;IGLV5-37;IGHV3-53;IGLV8-61;IGKV1D-39;IGHV1-45;IGLV5-45;IGLV2-33;IGKV1-8;CD79B;IGHV3-30;IGKV1D-8;IGKV5-2;IGKV6D-21;IGLL1;IGHV4-31"
"GOCC_AXONEME",1.78965785632532e-16,5.88797434731031e-14,1.04762648849882,0.52654834752334,2.42632918403857,220,"GLI1;CENPF;DZIP1L;EFHC2;RPGRIP1L;WDPCP;CCDC146;CFAP210;CFAP300;DNAJB13;MYCBPAP;NME5;MNS1;RIBC2;TEKT3;BBOF1;KIF19;CFAP54;IQCG;B9D1;BBS5;FBXL13;SPACA9;DYNC2LI1;SPATA7;IQUB;WDR35;DNAI3;CFAP126;TOGARAM1;LCA5L;CCDC65;SPAG16;SEPTIN9;CFAP61;CFAP263;DNAH6;DNALI1;DNAL1;EFHC1;SPAG17;DYDC2;CCDC40;CFAP95;TTLL3;DNAAF1;DNAI4;DNAH1;AKAP14;PIERCE1;KATNIP;DNAH7;RSPH14;TEKT2;CFAP53;CCDC181;CFAP251;RSPH10B2;RSPH9;CFAP90;CFAP276;CCDC13;CLXN;ODAD2;TULP3;IQCD;SPEF1;IFT172;DNAH2;NME9;STK36;RSPH1;SPAG6;CFAP74;NPHP1;ERICH3;NME7;DRC3;TCTE1;HYDIN;SAXO2;DNAH3;DNAI2;DRC7;KIF9;CFAP45;RSPH4A;CFAP52;PACRG;CFAP141;DNAI7;CCDC17;DNAH12;DNAH9;TEKT4;LCA5;DYDC1;GLI3;CFAP43;CFAP144;CFAP46;EFCAB6;CFAP107;SPATA4;CFAP184;TEKT1;DRC1;CIMIP2B;DNAH10;ENKUR;IFT80;CFAP57;ODAD4;ODAD1;DNAH11;SPAG8;PIERCE2;AK8;CYB5D1;EFHB;DNAAF19;MAK;CFAP73;BBS7;SAXO4;DNAI1;CFAP65;DYNLT2B;C1orf87;IQCA1;CFAP161;CCDC39;CIMIP2C;DYNC2H1;CFAP77;DNAH8;CFAP119;CFAP70;CFAP44;TRAF3IP1;MAPK15;RIBC1;IFT70B;RSPH3;BBS1;EFCAB2;ODAD3;RSPH10B;ROPN1L;CFAP100;BRWD1;CFAP91"
"GOCC_SECRETORY_GRANULE_MEMBRANE",2.01003228759387e-14,2.64520249047353e-12,0.97599468306432,-0.429313360815026,-2.23955067898862,295,"STX3;MME;SIGLEC5;SLCO4C1;CXCR1;ABCA3;CXCR2;LAMP3;CA4;ACP3;DOK3;SIRPB1;MMP25;NBEAL2;PTPRJ;BRI3;CD36;CLEC12A;FABP5;SLC44A2;ATP8A1;FCGR3B;APLP2;ITGA2B;LAMTOR3;ATP6V0A1;CYSTM1;FPR1;MGAM;RAB3D;RAB5B;LILRB2;ATP11A;LPCAT1;SIGLEC9;AGPAT2;MCEMP1;ARL8A;RAP1A;SERPINB6;DNAJC5;PTPRB;CAV2;FPR2;CD33;LAMTOR1;FLOT2;PTAFR;ABCC4;ADGRE3;CLEC4D;CR1;SIRPA;CAV1;CD55;ACRBP;RHOG;CEACAM3;LILRB3;SIGLEC14;RAB5C;MGST1;PLA1A;STXBP2;IZUMO1;SLC15A4;TSPAN14;CD47;CD68;TMEM63B;AP1M1;RAB7A;NFAM1;ADGRG3;PSEN1;MOSPD2;TLR2;ITGAL;TNFRSF1B;RAB6A;FCER1G;STK10;BST1;CEACAM1;ENPP4;VAMP8;RAB24;TMBIM1;FCGR2A;SLC11A1;CD93;RAB14;SELL;ITPR3;IGF2R;TYROBP;RHOA;VAMP2;BST2;KCNAB2;RAC1;EXOC3;FCAR;P2RX1;ITGB2;LAMP1;ITGAM;PHACTR2;LAIR1;DIAPH1;C3AR1;SPACA4;CD300A;NCSTN;HVCN1;MANBA;CYB5R1;OLR1"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN",1.92105302415535e-14,2.64520249047353e-12,0.97599468306432,0.46144649047684,2.18771493134389,292,"COL14A1;LTBP1;COL10A1;COL15A1;CDH2;COL1A1;COL3A1;COL5A2;COL1A2;FMO1;COL17A1;COL7A1;GPX8;GOLM1;COL16A1;FKBP14;COL5A1;TNC;MTTP;P4HA3;SCG2;COL24A1;WNT5A;FSTL1;IGFBP5;BCHE;MZB1;COL25A1;HRC;CP;IGFBP4;COL18A1;IGFBP7;COL19A1;ADAMTS5;FBN1;STS;PROC;TXNDC5;COL22A1;CERCAM;COL4A5;COL6A2;FN1;PDGFD;CALU;COL6A3;COL6A1;SPON1;FKBP7;PDGFC;SPP1;COL4A6;COL9A1;POGLUT2;CASQ1;VCAN;PTGIS;GPX7;COL9A2;FKBP10;SLC27A2;RCN3;UGT1A1;COL12A1;DNAJC10;WNT5B;SDC2;MXRA8;P3H1;SERPIND1;MELTF;ADAMTSL1;CHGB;UGGT2;COL4A1;COL27A1;AMTN;COL23A1;PENK;FAM20C;TMEM132A;F5;CLU;RDH5;TF"
"GOCC_EARLY_ENDOSOME",1.38309397358833e-14,2.64520249047353e-12,0.986546283587582,-0.384626906814756,-2.07215180732433,425,"FZD5;HSD17B6;MME;ANKRD27;GRIA1;SH3GL2;PCSK9;CLCN4;AGER;MVB12B;LAMP3;ADRB2;WNT3A;RAB17;C1orf210;ATP13A4;SNX1;EHD1;LMTK2;KDR;CD274;SLC1A1;SNX27;FGD5;HTT;TLR3;GPER1;RAB32;NUMB;VAMP3;TMEM163;ZFYVE26;DTX3L;RAB5B;TLR4;ATP11A;MAPK3;SNX30;GGA2;TRAK2;RAP1A;ACKR4;TSG101;VTI1B;HLA-E;DYSF;SIGLEC1;ASAH1;ZFYVE9;AOC3;SNX5;STAM;KCNQ1;SH3GL3;CAV1;GGA3;FLOT1;ADRB1;SORT1;RAB5C;CFTR;PHETA1;HPS6;CLCN5;SLC15A4;TMEM9B;ARC;ARL8B;ANKFY1;FCGR1BP;APOA1;TMEM63B;CTNS;AP1M1;MTMR4;FCGR1A;PPP1R21;STX7;VPS18;WASF2;PSEN1;FIG4;TOLLIP;SNX8;EHD2;PTP4A2;AP3M2;STX12;UVRAG;RAB20;PTPN23;AP3D1;RIN3;NRP1;HAS3;SNX2;CCDC93;HPS5;RAPGEF1;VAMP8;RUFY1;MARCHF1;FGD2;VPS26A;RAB14;MAP2K1;CHMP3;VIPAS39;KIF16B;GPR65;ECPAS;DBNL;VPS4A;IGF2R;AP3M1;SNX4;LDLR;SNX20;ENTREP1;HLA-G;PLEKHJ1;PTPN1;TPCN1;SNX12;SLC9A6;RAC1;FKBP15;SERPINB1;PACSIN2;VPS11;ARAP1;WASHC2A;INPP5B;MGRN1;CLN6;MYO1B;DAGLA;TMEM127"
"GOCC_LATE_ENDOSOME",4.22046547694904e-14,4.62844380638745e-12,0.965327754226083,-0.419152423823589,-2.20411911370292,310,"ANKRD27;PCSK9;CLCN4;UNC13D;ABCA3;MVB12B;TMEM192;LAMP3;ACP3;STARD3NL;ATP13A4;RNF128;SLC1A1;SFTPD;SFTPA2;SFTPA1;HTT;NPC1;LRRK2;TMEM163;LAMTOR3;SPAAR;ZFYVE26;OSBPL11;NEDD4L;CLCN6;NOTCH1;MAPK3;ARL8A;SFTPB;RAP1A;BLTP3A;TSG101;ABHD6;VTI1B;AP5B1;STARD3;DYSF;SIGLEC1;CTSH;LAMTOR1;TTPA;KCNQ1;SFTPC;RILP;NAPSA;HLA-DQA2;TSPAN15;SQSTM1;VAMP5;ARL8B;SRC;CD68;CTNS;MTMR4;RAB7A;STX7;VPS18;FIG4;RAPGEF2;MTM1;DENND10;RNF13;UVRAG;RAB11A;VPS4B;VAMP8;MON1B;STOML1;DDIT3;RAB27A;MARCHF1;SLC9A8;CHMP5;SLC11A1;CLEC16A;RAB14;MAP2K1;CHMP3;LAMTOR5;KCMF1;VIPAS39;GPR65;VPS37C;CHMP4C;RMC1;ECPAS;EXOC8;VPS4A;IGF2R;PIP4P1;LDLR;PIK3C3;ENTREP1;RAB9A;PLEKHM1;BST2;RNF149;SLC9A6;VPS11;ARAP1;CD300LG;LAMP1;PRKAR1B;IFNAR1;AP5Z1;RAB39A"
"GOCC_MOTILE_CILIUM",6.92729410234542e-14,6.5116564562047e-12,0.954541630725724,0.470465922855453,2.20843508846759,263,"CABYR;ACTA2;CFAP69;SLC9B2;DRD2;HIF1A;CIBAR1;SORD;IFT27;PKD2;EFHC2;CETN2;CCDC146;CFAP210;CFAP300;PMFBP1;DNAJB13;MYCBPAP;ODF2;NME5;MNS1;RIBC2;CCDC34;TEKT3;BBOF1;IQCG;IFT52;TCP11;IFT81;SPACA9;DYNC2LI1;SPATA7;IQUB;CFAP126;CCDC65;SPAG16;CFAP61;DNAH6;CABCOCO1;DNALI1;EFHC1;CCDC40;CFAP95;TTLL3;SPA17;CFAP58;DNAI4;DNAH1;TSGA10;PIERCE1;KATNIP;TACR2;IFT20;DNAAF11;DNAH7;FLACC1;RSPH14;CIMAP1B;PKD1;WDR54;TEKT2;CFAP53;CCDC181;CFAP251;RSPH10B2;RSPH9;CFAP90;CFAP276;CLXN;MORN5;NEK5;SPEF2;SPEF1;IFT172;DNAH2;RSPH1;SPAG6;CFAP74;NPHP1;NME7;DRC3;TCTE1;NHERF1;HYDIN;SAXO2;DNAH3;DNAI2;ADGB;DEFB1;DRC7;FHAD1;KIF9;CFAP45;RSPH4A;CFAP52;PACRG;CFAP141;ZMYND12;DNAH12;DNAH9;TEKT4;DYDC1;CFAP43;CFAP144;SPATA33;CALM2;HAVCR1;EFCAB6;CFAP107;TEKT1;SEPTIN6;DRC1;INTU;TTC29;DNAH10;ENKUR;CFAP57;LRRC46;CFAP99;ODAD4;DNAH11;VPS13A;SPAG8;ROPN1B;PIERCE2;AK8;CYB5D1;EFHB;DNAAF19;MAK;BBS9;CFAP73;CATSPERB;IFT74;CATSPERE;SAXO4;ADAM32;DNAI1;CFAP65;CFAP161;CCDC39;OFD1;ANXA1;CIMIP2C;DYNC2H1;CFAP77;DNAH8;CFAP119;CFAP70;CFAP44;TMEM232;SPMIP6;RIBC1;AK7;CATSPER2;CATSPERD;RSPH3;BBS1;EFCAB2;IFT46;TACR1;RSPH10B;ROPN1L;DNAAF5;CFAP100;BRWD1;CFAP91;LRRC23;FSIP2"
"GOCC_9PLUS2_MOTILE_CILIUM",9.49319717269971e-12,7.80815467454551e-10,0.875325132024659,0.479228532682289,2.19487450449914,210,"CABYR;CFAP69;SLC9B2;DRD2;CIBAR1;IFT27;EFHC2;CETN2;CCDC146;CFAP210;PMFBP1;DNAJB13;MYCBPAP;ODF2;NME5;MNS1;RIBC2;CCDC34;TEKT3;BBOF1;IQCG;TCP11;IFT81;SPACA9;SPATA7;IQUB;CFAP126;SPAG16;CFAP61;DNAH6;CABCOCO1;DNALI1;EFHC1;CFAP95;TTLL3;SPA17;CFAP58;DNAH1;TSGA10;PIERCE1;KATNIP;TACR2;DNAH7;FLACC1;RSPH14;TEKT2;CFAP53;CCDC181;CFAP251;RSPH10B2;RSPH9;CFAP90;CFAP276;CLXN;MORN5;NEK5;SPEF2;SPEF1;IFT172;DNAH2;RSPH1;SPAG6;CFAP74;NME7;DRC3;TCTE1;NHERF1;HYDIN;SAXO2;DNAH3;DNAI2;ADGB;DEFB1;FHAD1;KIF9;CFAP45;RSPH4A;CFAP52;PACRG;CFAP141;ZMYND12;DNAH12;DNAH9;TEKT4;DYDC1;CFAP43;CFAP144;SPATA33;CALM2;EFCAB6;CFAP107;TEKT1;SEPTIN6;DRC1;TTC29;DNAH10;ENKUR;CFAP57;LRRC46;ODAD4;DNAH11;VPS13A;SPAG8;PIERCE2;AK8;CYB5D1;EFHB;BBS9;CATSPERB;CATSPERE;SAXO4;ADAM32;DNAI1;CFAP65;CFAP161;CIMIP2C;DYNC2H1;CFAP77;DNAH8;CFAP119;CFAP70;TMEM232;SPMIP6;RIBC1;AK7;CATSPER2;CATSPERD;RSPH3;EFCAB2;TACR1;RSPH10B;ROPN1L"
"GOCC_FICOLIN_1_RICH_GRANULE",8.98817407577233e-11,6.57135393539799e-09,0.839088935621274,-0.462622208239925,-2.26500435483455,174,"SIGLEC5;MAPK14;DERA;DOK3;NBEAL2;HSPA6;COMMD9;ATP6V0A1;FPR1;MGAM;MNDA;OSTF1;LILRB2;FCN1;PYGL;HK3;ARL8A;SERPINB6;FPR2;CTSH;LAMTOR1;ASAH1;BIN2;ADGRE3;CLEC4D;SERPINA1;CR1;SIRPA;CD55;GMFG;SIGLEC14;LTA4H;PSMD11;ALOX5;PSMC2;ARPC5;FCER1G;CAT;ENPP4;C1orf35;PLEKHO2;SLC11A1;IMPDH1;CD93;KCMF1;KPNB1;DBNL;RHOA;HUWE1;PSMB7;PGM1;CTSD;RAC1;ALAD;FCAR;PSMB1;PDAP1;ITGB2;ACTR10;LAMP1;ATG7;DIAPH1;ACLY;CD300A;PSMC3;PAFAH1B2;NCKAP1L;PSMD2;PSMD3;GLB1;CAB39;PSMA5;TRPM2;APAF1;GYG1;GNS;ALDOC;DYNC1LI1;ITGAX;CDA;PSMD12"
"GOCC_BASEMENT_MEMBRANE",1.0932422994652e-10,7.19353433048105e-09,0.839088935621274,0.580293768240384,2.39942112635744,96,"COL15A1;THBS2;ENTPD1;CCDC80;COL17A1;COL7A1;COL16A1;FREM1;COL5A1;TNC;COL24A1;NTN1;EGFLAM;LOXL1;ACTA2;LOXL2;SMOC2;COL18A1;HMCN1;FBN1;COL22A1;CASK;COL4A5;HMCN2;EFNA5;FN1;EGFL6;FBLN1;COL6A1;SMOC1;ENTPD2;COL4A6;THBS4;PAPLN;TGFBI;ITGB4;COLQ;NID2;COL4A1;SPARC;AMTN;COL8A1;MATN2;HSPG2;COL9A3;NTN5"
"GOCC_TERTIARY_GRANULE",1.98846414640448e-10,1.18946309848559e-08,0.826657301178302,-0.469725601613494,-2.26409256433483,154,"SIGLEC5;DOK3;NBEAL2;CLEC12A;FOLR3;LAMTOR3;ATP6V0A1;CYSTM1;PGLYRP1;FPR1;MGAM;LILRB2;OLFM4;ATP11A;MCEMP1;ARL8A;SERPINB6;PTPRB;FPR2;CTSH;CD33;LAMTOR1;PTAFR;ASAH1;ADGRE3;CLEC4D;ORM1;CR1;SIRPA;CD55;CFP;SIGLEC14;STXBP2;PTPN6;LTA4H;TSPAN14;OSCAR;CD47;STX7;FCER1G;CEACAM1;ENPP4;VAMP8;CAMP;SLC11A1;CD93;RAB14;DBNL;RHOA;PGM1;KCNAB2;CTSD;RAC1;FCAR;ITGB2;LAMP1;ITGAM;LAIR1;DIAPH1;CD300A;OLR1;CNN2;NCKAP1L;MMP8;CYBB;TRPM2;ALDOC;DYNC1LI1;QSOX1;ITGAX;CDA;ADAM10;ANO6;CD59;TMC6;CEACAM8;IDH1;LRG1;TMEM179B;CD177;LAMP2;B2M;SLC2A3;GAA;TCIRG1;GSDMD;SNAP23;CD58"
"GOCC_ENDOCYTIC_VESICLE",2.71323145210331e-10,1.48775524623665e-08,0.814035837847908,-0.365093451690704,-1.92976124091514,343,"FZD5;ARRB1;GRIA1;CSF3R;SH3GL2;OCLN;ADRB2;WNT3A;RAB17;WNT7A;RAB11FIP1;STXBP1;ANXA3;LRP2;EHD1;SFTA3;CLEC4E;DAB2IP;SFTPD;SFTPA2;SFTPA1;CD36;CACNG4;LRRK2;RIN2;RAB32;VAMP3;ATP6V0A1;PGLYRP1;RAB5B;SCARF1;EGF;SFTPB;MYO1C;RAP1A;HLA-E;DYSF;NCF2;FLOT2;NOD2;CHRM2;DNM2;NOSTRIN;MPO;SLC15A2;NOD1;AP2B1;SFTPC;CAV1;NCF4;RILP;FFAR4;RAB5C;CFTR;STXBP2;HLA-DQA2;LYN;IL7R;FCGR1BP;SLC48A1;APOA1;MTMR4;FCGR1A;RAB7A;STX7;ARRB2;RAPGEF2;EHD2;AMBRA1;TLR2;STX12;UVRAG;RAB20;RALA;SCIMP;RAB11A;RIN3;VAMP8;RAB24;MPEG1;ZDHHC5;SLC11A1;MARCO;WAS;RAB14;ECPAS;SCARB1;IGF2R;PIP4P1;LDLR;PIK3C3;RAB35;RAB9A;HLA-G;VAMP2;HYAL2;VPS11;MYO6;FZD2;ZYX;LAMP1;INPP5B;PIK3C2B;TLR1;MSR1;RAB39A;CLTA;TFRC;NCF1;SYK;WNT3;TRIM14;MTSS1;HVCN1"
"GOCC_SPECIFIC_GRANULE",4.60107636209661e-10,2.32885249712275e-08,0.814035837847908,-0.46416855483886,-2.23730741947815,154,"STX3;SLCO4C1;ANXA3;MMP25;PTPRJ;CD36;CLEC12A;FOLR3;SLC44A2;ATP8A1;LAMTOR3;PGLYRP1;OLFM4;ATP11A;AGPAT2;MCEMP1;RAP1A;ACAA1;HPSE;DNAJC5;PTPRB;FPR2;CD33;LAMTOR1;ARG1;CLEC4D;ORM1;CEACAM3;CFP;RETN;STXBP2;PTPN6;SLC15A4;TSPAN14;OSCAR;CD47;ORM2;AP1M1;BPI;ADGRG3;TOLLIP;MOSPD2;ITGAL;TNFRSF1B;STK10;BST1;CEACAM1;VAMP8;CAMP;PDXK;RAB27A;TMBIM1;CD93;KPNB1;KCNAB2;CTSD;FCAR;P2RX1;ITGB2;ITGAM;GHDC;LAIR1;C3AR1;HVCN1;DNASE1L1;OLR1;CNN2"
"GOCC_COLLAGEN_TRIMER",2.14035232592501e-09,1.00596559318476e-07,0.774939030136436,0.59397490097876,2.35342516386201,74,"COL14A1;CTHRC1;COL10A1;COL15A1;SCARA3;COL1A1;COL3A1;COL5A2;COL1A2;COL17A1;COL7A1;COL16A1;COL5A1;COL24A1;COL25A1;COLEC11;COL18A1;COL19A1;C1QTNF3;COL22A1;C1QTNF2;C1QTNF1;COL4A5;COL6A2;COL6A3;COL6A1;COL4A6;COL9A1;COL9A2;LOX;C1QTNF6;COL12A1;COLQ;COL4A1;COL27A1;COL23A1;LUM;COL8A1"
"GOCC_COMPLEX_OF_COLLAGEN_TRIMERS",2.83028321398269e-09,1.16395397175038e-07,0.774939030136436,0.747120295063626,2.51181413905637,32,"COL14A1;COL10A1;COL1A1;COL3A1;COL5A2;COL1A2;COL7A1;COL16A1;COL5A1;COL24A1;COL4A5;COL6A2;COL6A3;COL6A1;COL4A6;COL9A1;COL9A2;COL12A1;COL4A1;COL27A1;LUM;COL8A1"
"GOCC_INTERSTITIAL_MATRIX",2.82095773387072e-09,1.16395397175038e-07,0.774939030136436,0.755762258090557,2.49698958201192,30,"COL14A1;COL10A1;COL1A1;COL3A1;COL5A2;COL1A2;CCDC80;COL16A1;COL5A1;TNC;COL24A1;EGFLAM;ECM2;COL9A1;COL9A2;COL12A1;COL27A1;LUM;COL8A1;KAZALD1;COL9A3"
"GOCC_AZUROPHIL_GRANULE",1.41069875004447e-08,5.46023398546624e-07,0.747739663149885,-0.449656293962025,-2.14716388165373,149,"STX3;RNASE2;SLCO4C1;UNC13D;ACP3;BRI3;FABP5;GCA;ATP8A1;FPR1;RAB3D;MNDA;DEFA3;OLFM4;LPCAT1;ARL8A;ARHGAP45;DNAJC5;RNASE3;PRKCD;LAMTOR1;MPO;ARG1;RAB5C;MGST1;RETN;STXBP2;PRTN3;ORM2;CD68;BPI;NFAM1;STX7;PSEN1;TOLLIP;CPPED1;VAMP8;IMPDH1;CREG1;FTL;TRAPPC1;BST2;PSMD1;ACTR10;LAMP1;PRDX6;C3AR1;ACLY;NCSTN;VAT1;MANBA;CAP1;SDCBP;GLB1;SNAP29;CEACAM6;PADI2;GNS;GRN;CEACAM8;PLAC8;TMEM179B;TOM1;MAN2B1;FAF2;LAMP2;CTSC;GDI2;GAA;DYNC1H1;HEXB;SNAP23;VAPA;CPNE3;ACTR2;MAGT1"
"GOCC_BLOOD_MICROPARTICLE",3.05826922017356e-08,1.06644179355969e-06,0.719512826338911,0.514837314066846,2.16724978585714,108,"IGHG1;IGKC;IGHG2;JCHAIN;ACTG2;IGKV4-1;IGLC2;IGHV3-23;IGLC3;IGHA1;IGLV3-21;IGKV3-20;IGHA2;BCHE;IGKV1-5;CP;IGKV1-17;IGHG3;IGLV1-47;IGHG4;IGHV3-7;IGLV3-25;IGKV1-39;FN1;AGT;CFH;IGHV3-13;HBB;IGHM;IGKV1D-12;SERPINA3;C1S;C4B;ANGPTL4;ACTC1;CLU;TF"
"GOCC_PHAGOCYTIC_VESICLE",3.07939119720884e-08,1.06644179355969e-06,0.719512826338911,-0.451143330711193,-2.1397637516621,143,"RAB11FIP1;STXBP1;ANXA3;CLEC4E;CD36;LRRK2;RAB32;VAMP3;ATP6V0A1;PGLYRP1;MYO1C;RAP1A;HLA-E;NCF2;NOD2;DNM2;MPO;SLC15A2;NOD1;NCF4;RILP;STXBP2;SLC48A1;MTMR4;RAB7A;AMBRA1;TLR2;STX12;UVRAG;RAB20;SCIMP;RAB11A;VAMP8;MPEG1;ZDHHC5;SLC11A1;WAS;RAB14;PIP4P1;PIK3C3;RAB9A;HLA-G;ZYX;LAMP1;INPP5B;TLR1;RAB39A;NCF1;SYK;TRIM14;HVCN1;SRGAP2;CYBB;CD82;RAB5A;PIK3R4;SNX3;TLR7;TAP1;MCOLN1;ATP6V0D1;FMNL1;ATP6V0E1;ATG5;LAMP2;RAC2;B2M;RAB43;STX6;TCIRG1;CORO1A;RAB8A;TAPBP;SNAP23;HLA-F;RAB10;CDC42EP4;ATP6V0E2;CTSS;ABCA1;APPL1;MTOR;ATP6V0B"
"GOCC_SPECIFIC_GRANULE_MEMBRANE",3.77096387617103e-08,1.24064711526027e-06,0.719512826338911,-0.518269299086123,-2.27495204641219,87,"SLCO4C1;MMP25;PTPRJ;CD36;CLEC12A;SLC44A2;ATP8A1;LAMTOR3;ATP11A;AGPAT2;MCEMP1;RAP1A;DNAJC5;PTPRB;FPR2;CD33;LAMTOR1;CLEC4D;CEACAM3;SLC15A4;TSPAN14;CD47;AP1M1;ADGRG3;MOSPD2;ITGAL;TNFRSF1B;STK10;BST1;CEACAM1;VAMP8;TMBIM1;CD93;KCNAB2;FCAR;P2RX1;ITGB2;ITGAM;LAIR1;C3AR1;HVCN1;OLR1;CYBB;TRPM2;ADAM10;ANO6;CD59;TMC6;CEACAM8;TOM1;CD177;DGAT1;SLC2A3;ALDH3B1"
"GOCC_SOLID_PHASE_OF_INTERSTITIAL_MATRIX",4.27070066780857e-08,1.33815287591335e-06,0.719512826338911,0.78888542652457,2.36983237431481,21,"COL14A1;COL10A1;COL1A1;COL3A1;COL5A2;COL1A2;COL16A1;COL5A1;COL24A1;COL9A1;COL9A2;COL12A1;COL27A1;LUM;COL8A1;COL9A3;COL11A1"
"GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING",6.68036576462726e-08,1.99803666960215e-06,0.704975715167238,0.906269862082383,2.31745764478988,11,"IGHG1;IGHG2;JCHAIN;IGHA1;IGKV3-20;IGHA2;IGHG3;IGHG4;IGHM"
"GOCC_AXONEMAL_MICROTUBULE",7.64829766097935e-08,2.18807820040192e-06,0.704975715167238,0.65301486965265,2.36909896647675,47,"EFHC2;CFAP210;MNS1;RIBC2;TEKT3;SPACA9;CFAP126;EFHC1;CFAP95;PIERCE1;TEKT2;CFAP53;CFAP90;CFAP276;NME7;SAXO2;KIF9;CFAP45;CFAP52;PACRG;CFAP141;TEKT4;CFAP144;EFCAB6;CFAP107;TEKT1;CIMIP2B;ENKUR;SPAG8;PIERCE2;EFHB;SAXO4;CFAP161;CIMIP2C;CFAP77;RIBC1;IFT70B"
"GOCC_TERTIARY_GRANULE_MEMBRANE",1.10985053216898e-07,2.90218872890782e-06,0.704975715167238,-0.546962971536234,-2.31276543770819,69,"SIGLEC5;NBEAL2;CLEC12A;LAMTOR3;CYSTM1;MGAM;LILRB2;ATP11A;MCEMP1;SERPINB6;PTPRB;FPR2;CD33;PTAFR;CLEC4D;SIRPA;SIGLEC14;TSPAN14;CD47;FCER1G;CEACAM1;VAMP8;SLC11A1;CD93;RAB14;KCNAB2;FCAR;ITGB2;ITGAM;LAIR1;CD300A;OLR1;CYBB;TRPM2;ITGAX;ADAM10;ANO6;CD59;TMC6;CEACAM8"
"GOCC_RESPIRATORY_CHAIN_COMPLEX",1.13161347346262e-07,2.90218872890782e-06,0.704975715167238,-0.476947635827657,-2.19095450700541,104,"NDUFA12;SDHB;COX7A2L;MT-ND5;ATP5MK;MT-ND2;UQCR11;MT-ND6;NDUFB6;CYC1;ATP5MG;COX5A;NDUFA4;ATP5MGL;COX6A1;NDUFB9;MT-CO2;COX8A;MTCO2P12;ATP5PB;NDUFB3;DMAC2L;MT-ND4L;COX6C;MT-ND1;ATP5MJ;ATP5MC3;MT-ND3;MT-ND4;NDUFB4;SURF1;ATP5PD;ATP5MC2;NDUFB10;COX4I2;ATP5MF;COX7B;NDUFA2;COX7C;MT-ATP8;COX7A2;UQCR10;NDUFA8;COX6B1;MT-CYB;NDUFB11;NDUFS4;ATP5PF;NDUFV3;COX15;COX5B;NDUFAB1;NDUFC1;NDUFS8;NDUFS6;NDUFC2;NDUFS7;ATP5F1E;NNT;SDHD;UQCRH;NDUFS2;NDUFA9;MT-ATP6"
