"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_LYMPHOCYTE_DIFFERENTIATION",4.22168699381828e-27,2.06102759038208e-23,1.34992572002205,0.458885718720924,2.58677839752175,427,"ARMC5;HLX;LAG3;FUT7;PIK3CD;TNFSF9;JUNB;NCAPH2;SART1;SYVN1;RUNX3;TBX21;ICOSLG;PTGER4;ZNF683;DLL4;LCK;ZC3H12A;TYRO3;SLC4A2;SLC39A7;AICDA;VSIR;ZAP70;PSMB10;ADAM8;NFAM1;VAV1;SOCS3;ID2;PLA2G2D;LYL1;CD8A;FZD7;ZBTB7B;AMBRA1;ZMIZ1;STAT6;IL12RB1;ZFP36L1;FZD8;NFKBIZ;KLF6;GATA3;CCL19;ADA;TCF3;HLA-DRB1;BTNL3;LILRB2;RELB;CARD11;SMARCD3;STK11;BAK1;MFNG;NFIL3;ZFPM1;BATF;PTK2B;IL2RG;SASH3;BCL6;LILRB4;SPIB;SOX12;RARA;EOMES;MAFB;NFKBID;CRTAM;CCR7;IL4I1;DDRGK1;VNN1;BAX;STAT5B;PREX1;ASCL2;SMARCD1;TCF7;SOX4;SEMA4A;PTCRA;KLHL25;AP3D1;IL1B;CLCF1;CLPTM1;CD3D;SMARCB1;SOCS1;CD69;EGR1;IKZF1;POLM;CD3E;PTPN6;MMP14;IFNG;FOXP3;SMARCA4;CD83;TCIRG1;HDAC5;JMJD6;IL6;IRF4;CAMK4;IRF8;PSMB8;TGFB1;IL10;JAK3;STAT5A;IRF1;MEN1;DNAJA3;INPP5D;RIPK3;ADGRG3;SPI1;ARID1A;SMARCA2;CD2;GBA1;DTX1;ICOS;ITPKB;THEMIS;B2M;HLA-DOA;IL23A;LFNG;TRAF3IP2;CYP26B1;EGR3;PLCG2;PGLYRP1;BTN2A2;ITM2A;SOX13;PATZ1;LEP;DOCK2;PSMB9;DNAJB9;SRF;ITFG2;CD19;BCL3;STAT3;TGFBR2;CD79B;CD4;PTPRC;ABL1;CR2;PSMB4;PAX5"
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION",5.98063746501599e-26,1.4598736052104e-22,1.31888879607587,0.45574696550898,2.56097504098267,414,"HLA-DQA2;RASAL3;HLX;LAG3;FUT7;PIK3CD;FCHO1;CD6;SCRIB;ITGAL;TNFSF9;SART1;RUNX3;TBX21;STK10;ICOSLG;CORO1A;GPR35;CHST2;LCK;ZC3H12A;CCDC88B;CSK;SLC4A2;VSIR;ZAP70;FERMT3;CX3CR1;PSMB10;ADAM8;TYK2;CD177;CD300A;VAV1;CTSG;PLA2G2D;KLHL22;ZBTB7B;AMBRA1;ZMIZ1;S100A9;IL12RB1;TNIP1;NFKBIZ;GATA3;CCL19;ADA;EBI3;HLA-DRB1;HLA-E;TNFRSF14;CCL5;IRAK1;LILRB2;CARD11;SMARCD3;HLA-DQA1;S100A8;CD5;TIGIT;IL2RG;SASH3;BCL6;LILRB4;HLA-DQB1;SOX12;RARA;FLOT2;HLA-DQB2;NFKBID;CRTAM;CCR7;IL4I1;TMIGD2;VNN1;STAT5B;ASCL2;SMARCD1;DUSP22;SOX4;CLEC4M;KLHL25;AP3D1;IL1B;SELPLG;SELL;SMARCB1;SOCS1;CD69;CD3E;PTPN6;RAC2;IFNG;FOXP3;SMARCA4;CD83;ST3GAL4;NCK2;KLF4;IL12A;ITGB2;IL6;PSMB8;RELA;TGFB1;IL10;JAK3;STAT5A;IRF1;SIRPA;SIRPB1;DNAJA3;MAP3K8;ARID1A;SMARCA2;AKT1;DTX1;FYN;SKAP1;ICOS;ITPKB;B2M;CEBPB;HLA-DOA;IL23A;TNFSF14;PODXL2;EGR3;RIPOR2;BTN2A2;GFUS;SOX13;LEP;PRKCQ;PSMB9;EFNB1;ETS1;PELI1;TNFAIP8L2;TGFBR2;CD4;PTPRC;ABL1;IGF2;PSMB4;CD209;PNP;MSN;LILRB1;CERCAM;NOD2;HLA-DRA;TNFSF18;HLA-DRB5;ELANE;ITGAM;SHB;SMARCD2;BMP4;GPNMB;MADCAM1;SRC;BRD2;IHH;SOCS5;ADORA2A;PDCD1LG2;BRD4;SIRPG;CD276;LOXL3;HLA-DMB;EP300;VCAM1;ALOX5;IL23R;CD1D;PSMB3;PCK1;AGER;CD74;GLI2;CD81;HLA-DPA1;HAS2;CCL2"
"GOBP_T_CELL_DIFFERENTIATION",5.52687123776542e-24,8.99406179425693e-21,1.27091304449619,0.479290489805595,2.61851716632688,327,"ARMC5;HLX;LAG3;FUT7;PIK3CD;TNFSF9;JUNB;NCAPH2;SART1;RUNX3;TBX21;ICOSLG;PTGER4;ZNF683;DLL4;LCK;ZC3H12A;SLC4A2;VSIR;ZAP70;PSMB10;ADAM8;VAV1;SOCS3;PLA2G2D;CD8A;FZD7;ZBTB7B;AMBRA1;ZMIZ1;STAT6;IL12RB1;ZFP36L1;FZD8;NFKBIZ;GATA3;CCL19;ADA;HLA-DRB1;BTNL3;LILRB2;RELB;CARD11;SMARCD3;STK11;ZFPM1;BATF;IL2RG;SASH3;BCL6;LILRB4;SOX12;RARA;EOMES;MAFB;NFKBID;CRTAM;CCR7;IL4I1;VNN1;STAT5B;PREX1;ASCL2;SMARCD1;TCF7;SOX4;SEMA4A;PTCRA;KLHL25;AP3D1;IL1B;CLPTM1;CD3D;SMARCB1;SOCS1;CD69;EGR1;CD3E;IFNG;FOXP3;SMARCA4;CD83;TCIRG1;JMJD6;IL6;IRF4;CAMK4;PSMB8;TGFB1;IL10;JAK3;STAT5A;IRF1;MEN1;DNAJA3;RIPK3;SPI1;ARID1A;SMARCA2;CD2;GBA1;DTX1;ICOS;ITPKB;THEMIS;B2M;HLA-DOA;IL23A;LFNG;TRAF3IP2;CYP26B1;EGR3;BTN2A2;SOX13;PATZ1;LEP;DOCK2;PSMB9;SRF;BCL3;STAT3;TGFBR2;CD4;PTPRC;ABL1;PSMB4;PNP;GPR183;CLEC4E;FCER1G;CD3G;HLA-DRA;SP3"
"GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION",8.53456904262034e-23,1.04164415165181e-19,1.23789667319529,0.454858828942523,2.52967687126022,365,"HLA-DQA2;RASAL3;HLX;PIK3CD;FCHO1;CD6;TNFSF9;SART1;CCL3;RUNX3;TBX21;LILRA2;TICAM1;ICOSLG;CORO1A;LCK;CCDC88B;CSK;VSIR;ZAP70;CD320;ZNF335;ADAM8;TYK2;VAV1;KLHL22;ZBTB7B;AMBRA1;ZMIZ1;STAT6;IL12RB1;NFKBIZ;EPHB2;GATA3;CCL19;ADA;TCF3;TNIP2;EBI3;HLA-DRB1;HLA-E;TNFRSF14;MAD2L2;CCL5;TNFRSF4;SHLD1;LILRB2;CARD11;SMARCD3;HLA-DQA1;CD5;IL2RG;SASH3;BCL6;LILRB4;HLA-DQB1;SOX12;RARA;FLOT2;BST1;HLA-DQB2;NFKBID;CCR7;IL4I1;DDRGK1;TMIGD2;VNN1;STAT5B;JUND;PLEK;SMARCD1;SPHK2;SOX4;CDKN1A;IL16;GP1BA;KLHL25;AP3D1;LILRA5;IL1B;CLCF1;SMARCB1;SOCS1;CD3E;PTPN6;MMP14;IFNG;FOXP3;SMARCA4;CD83;NCK2;IL12A;IL6;TGFB1;NECTIN2;LBP;IL10;STAT5A;TNFSF13;PEAR1;SIRPA;SIRPB1;DNAJA3;INPP5D;MAP3K8;SPI1;ARID1A;SMARCA2;CD2;AKT1;FYN;ICOS;ITPKB;IL4R;B2M;HLA-DOA;IL23A;TNFSF14;EGR3;BTN2A2;SOX13;LEP;AKIRIN2;PRKCQ;EFNB1;BLOC1S3;TYROBP;PELI1;TGFBR2;CD4;PTPRC;SVEP1;ABL1;APP;IGF2;CD209;TACR1;IL1RL1;GP9;PNP;GPR183;SH3KBP1;RPS6KA1;LILRB1;NOD2;CD40;HLA-DRA"
"GOBP_REGULATION_OF_T_CELL_ACTIVATION",4.45962189425358e-22,4.3543748175492e-19,1.21254456769062,0.448706825012407,2.50037546090262,381,"HLA-DQA2;RASAL3;HLX;LAG3;PIK3CD;FCHO1;CD6;SCRIB;TNFSF9;JUNB;SART1;RUNX3;TBX21;ICOSLG;ZNF683;CORO1A;LCK;ZC3H12A;CCDC88B;CSK;SLC4A2;VSIR;ZAP70;PSMB10;ADAM8;TYK2;CD300A;VAV1;TNFRSF1B;CTSG;PLA2G2D;KLHL22;ZBTB7B;AMBRA1;ZMIZ1;IL12RB1;NFKBIZ;GATA3;CCL19;ADA;EBI3;HLA-DRB1;HLA-E;TNFRSF14;CCL5;LILRB2;CARD11;SMARCD3;HLA-DQA1;CD5;TIGIT;BATF;IL2RG;SASH3;BCL6;LILRB4;HLA-DQB1;SOX12;SIT1;RARA;FLOT2;HLA-DQB2;NFKBID;CRTAM;CCR7;IL4I1;TMIGD2;VNN1;STAT5B;ASCL2;SMARCD1;DUSP22;TCF7;SOX4;KLHL25;AP3D1;IL1B;CLPTM1;SMARCB1;SOCS1;CD69;CD3E;PTPN6;RAC2;IFNG;FOXP3;SMARCA4;CD83;NCK2;IL12A;IL6;IRF4;CAMK4;PSMB8;TGFB1;IL10;JAK3;STAT5A;IRF1;SIRPA;SIRPB1;DNAJA3;RIPK3;MAP3K8;ARID1A;SMARCA2;CD2;AKT1;DTX1;FYN;ICOS;ITPKB;B2M;CEBPB;HLA-DOA;IL23A;TNFSF14;CYP26B1;EGR3;RIPOR2"
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION",1.12603521367903e-21,9.16217318863504e-19,1.20397524075264,0.494140667736274,2.64320633054155,268,"HLA-DQA2;RASAL3;HLX;FUT7;PIK3CD;FCHO1;CD6;TNFSF9;SART1;RUNX3;ICOSLG;CORO1A;CHST2;LCK;CCDC88B;CSK;VSIR;ZAP70;ADAM8;TYK2;VAV1;KLHL22;ZBTB7B;AMBRA1;ZMIZ1;IL12RB1;NFKBIZ;GATA3;CCL19;ADA;EBI3;HLA-DRB1;HLA-E;TNFRSF14;CCL5;IRAK1;LILRB2;CARD11;SMARCD3;HLA-DQA1;CD5;IL2RG;SASH3;BCL6;LILRB4;HLA-DQB1;SOX12;RARA;FLOT2;HLA-DQB2;NFKBID;CCR7;IL4I1;TMIGD2;VNN1;STAT5B;SMARCD1;SOX4;KLHL25;AP3D1;IL1B;SMARCB1;SOCS1;CD3E;PTPN6;IFNG;FOXP3;SMARCA4;CD83;ST3GAL4;NCK2;IL12A;ITGB2;IL6;RELA;TGFB1;STAT5A;SIRPA;SIRPB1;DNAJA3;MAP3K8;ARID1A;SMARCA2;AKT1;FYN;SKAP1;ICOS;ITPKB;B2M;HLA-DOA;IL23A;TNFSF14;EGR3;BTN2A2;SOX13;LEP;PRKCQ;EFNB1;ETS1;TGFBR2;CD4;PTPRC;ABL1;IGF2;CD209;PNP;LILRB1;NOD2;HLA-DRA;HLA-DRB5;ELANE;SHB;SMARCD2;SRC;BRD2;IHH;SOCS5;PDCD1LG2;BRD4;SIRPG;CD276;HLA-DMB;EP300;VCAM1;ALOX5;IL23R;CD1D;PCK1;AGER;CD74;GLI2;CD81;HLA-DPA1;HAS2;CCL2"
"GOBP_ALPHA_BETA_T_CELL_ACTIVATION",2.22991056465556e-21,1.5552033395212e-18,1.19534448258848,0.536466264451077,2.773213527337,210,"RASAL3;ARMC5;NKG7;HLX;FUT7;JUNB;RUNX3;TBX21;ICOSLG;PTGER4;ZNF683;TRBC1;NCR3;LCK;ZC3H12A;SLC4A2;VSIR;ZAP70;PSMB10;BAG6;TYK2;CD300A;SOCS3;PLA2G2D;ZBTB7B;STAT6;IL12RB1;NFKBIZ;GATA3;CCL19;ADA;EBI3;HLA-DRB1;HLA-E;TNFRSF14;RELB;ZFPM1;CD247;BATF;IL2RG;SASH3;BCL6;LILRB4;TRBC2;RARA;EOMES;NFKBID;CRTAM;ASCL2;TRAC;SEMA4A;PTCRA;KLHL25;AP3D1;CD3D;SOCS1;CD69;CD3E;CLEC4A;CLEC2B;IFNG;FOXP3;CD83;TCIRG1;IL12A;IL6;IRF4;PSMB8;ELF4;IL10;JAK3;STAT5A;IRF1;MYC;MEN1"
"GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION",7.48792957857941e-21,4.56950902532808e-18,1.1778932614942,0.458188152338233,2.50500926649956,324,"GPR68;HLX;LAG3;IL2RB;HSF1;TNFSF9;JUNB;SART1;CCL3;RUNX3;TBX21;CSF1;IL34;RPTOR;ZNF683;LCK;ZC3H12A;SLC4A2;VSIR;ZAP70;PSMB10;ADAM8;RASSF2;FOS;NFAM1;FES;GPR137;ID2;ZBTB7B;AMBRA1;ZMIZ1;TNFRSF11A;IL12RB1;ZFP36L1;NFKBIZ;GATA3;EEIG1;CCL19;ADA;HLA-B;HCLS1;HLA-DRB1;LILRB2;CARD11;SMARCD3;TFE3;TMEM176B;ZFPM1;BATF;TMEM176A;IL2RG;SASH3;BCL6;LILRB4;SOX12;RARA;MAFB;NFKBID;CRTAM;IL4I1;DDRGK1;IRF7;VNN1;STAT5B;ASCL2;SMARCD1;TRIB1;TCF7;SOX4;KLHL25;AP3D1;LIF;CLPTM1;SMARCB1;SOCS1;CD69;PTPN6;MMP14;IFNG;FOXP3;SMARCA4;CD83;IRF4;CAMK4;PSMB8;TGFB1;IL10;JAK3;STAT5A;IRF1;HAX1;MYC;INPP5D;SPI1;ARID1A;SMARCA2;CD2;DTX1;ITPKB;IL4R;CEBPB;HLA-DOA;IL23A;CYP26B1;EGR3;CD101;PGLYRP1;BTN2A2"
"GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION",4.03491500888447e-20,2.18871723037488e-17,1.16017957183021,0.456246306704722,2.47359440360312,317,"HLA-DQA2;RASAL3;HLX;PTPN23;FUT7;PIK3CD;FCHO1;CD6;TNFSF9;SART1;RUNX3;ICOSLG;CORO1A;CHST2;LCK;CCDC88B;CSK;VSIR;EMILIN1;ZAP70;ADAM8;TYK2;CITED2;VAV1;CTSG;KLHL22;ZBTB7B;AMBRA1;ZMIZ1;IL12RB1;NFKBIZ;GATA3;CCL19;ADA;EBI3;HLA-DRB1;HLA-E;TNFRSF14;CCL5;IRAK1;LILRB2;CARD11;SMARCD3;HLA-DQA1;CD5;IL2RG;SASH3;BCL6;LILRB4;HLA-DQB1;SOX12;RARA;FLOT2;PIEZO1;HLA-DQB2;NFKBID;CCR7;IL4I1;TMIGD2;VNN1;STAT5B;SMARCD1;SOX4;KLHL25;AP3D1;IL1B;SMARCB1;SOCS1;FLOT1;CD3E;PTPN6;IFNG;FOXP3;SMARCA4;CD83;ST3GAL4;NCK2;IL12A;ITGB2;IL6;RELA;TGFB1;IL10;STAT5A;SIRPA;SIRPB1;DNAJA3;MAP3K8;ARID1A;KIF26B;SMARCA2;AKT1;FYN;SKAP1;ICOS;ITPKB;B2M;HLA-DOA;IL23A;TNFSF14;EGR3;BTN2A2;SOX13;CX3CL1;LEP;PRKCQ;EFNB1;ETS1;TGFBR2;MYO10;CD4;PTPRC;ABL1;FSTL3;IGF2;CD209;PNP;LILRB1;NOD2;HLA-DRA;HLA-DRB5;ELANE;SHB;SMARCD2;WNT3A;SERPINF2;SRC;BRD2;IHH;SOCS5;FOXA2;PDCD1LG2;BRD4;SIRPG;CD276;HLA-DMB;EP300;VCAM1;ALOX5;IL23R;CD1D;PCK1;AGER;CD74;GLI2;CD81;HLA-DPA1;HAS2;CCL2"
"GOBP_REGULATION_OF_HEMOPOIESIS",1.07624429802197e-19,5.25422466294327e-17,1.15122052214226,0.41693411304142,2.34134106761684,413,"GPR68;HLX;LAG3;IL2RB;HSF1;TNFSF9;JUNB;SART1;CCL3;RUNX3;TBX21;CSF1;IL34;RPTOR;ZNF683;LCK;BRPF1;ZC3H12A;SLC4A2;VSIR;ZAP70;PSMB10;ADAM8;RASSF2;FOS;NFAM1;FES;GPR137;ID2;ZBTB7B;AMBRA1;ZMIZ1;TNFRSF11A;CSF3R;IL12RB1;ZFP36L1;NFKBIZ;GATA3;EEIG1;CCL19;ADA;HLA-B;HCLS1;HLA-DRB1;LILRB2;CARD11;SMARCD3;TFE3;TMEM176B;ZFPM1;NFKBIA;BATF;PTK2B;TMEM176A;IL2RG;SASH3;H4C9;BCL6;LILRB4;SOX12;RARA;ZNF16;MAFB;PRMT1;NFKBID;CRTAM;ZFP36;IL4I1;DDRGK1;IRF7;VNN1;STAT5B;HOXA5;ASCL2;SMARCD1;TRIB1;TCF7;SOX4;KLHL25;AP3D1;LIF;BRPF3;CLPTM1;SMARCB1;SOCS1;CD69;PTPN6;RARG;MMP14;IFNG;FOXP3;SMARCA4;MAPK14;CD83;CSF3;IL17D;MAPK11;IRF4;CAMK4;PSMB8;TGFB1;IL10;JAK3;STAT5A;IRF1;HAX1;MYC;INPP5D;SPI1;ARID1A;SMARCA2;CD2;DTX1;ITPKB;H4C6;IL4R;B2M;CEBPB;HLA-DOA;IL23A;ING5;CYP26B1;EGR3;CD101;PGLYRP1;BTN2A2;SOX13;PAF1;PITHD1;PSMB9;ETS1;TYROBP;STAT3;TGFBR2;ANKRD54;CD4;PTPRC;ABL1;FSTL3;ISG15;PSMB4"
"GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION",8.35372750481627e-19,3.70753615259209e-16,1.12391496374483,0.396883791266317,2.24834988674599,467,"HLA-DQA2;RASAL3;HLX;PTPN23;FUT7;PIK3CD;FCHO1;CD6;TNFSF9;SART1;RUNX3;CSF1;ICOSLG;CORO1A;CHST2;LCK;TESK1;CCDC88B;CSK;VSIR;PPM1F;EMILIN1;ZAP70;ADAM8;TYK2;CITED2;VAV1;LAMB2;CTSG;KLHL22;ZBTB7B;AMBRA1;ZMIZ1;IL12RB1;TRIOBP;NFKBIZ;GATA3;CCL19;ADA;EBI3;HLA-DRB1;HLA-E;TGM2;TNFRSF14;PRKD2;CCL5;IRAK1;LILRB2;CARD11;SMARCD3;HLA-DQA1;TFE3;CD5;PTK2B;IL2RG;SASH3;BCL6;LILRB4;HLA-DQB1;SOX12;RARA;FLOT2;ARL2;PIEZO1;HLA-DQB2;NFKBID;CCR7;IL4I1;TMIGD2;VNN1;STAT5B;PREX1;SMARCD1;SOX4;KLHL25;AP3D1;LIF;IL1B;SMARCB1;SOCS1;FLOT1;CD3E;PTPN6;LAMC1;IFNG;FOXP3;SMARCA4;CD83;ST3GAL4;NCK2;IL12A;TNFRSF18;ITGB2;IL6;RELA;TGFB1;IL10;PRSS2;APBB1IP;STAT5A;ITGB1BP1;GSK3A;EFEMP2;SIRPA;SIRPB1;UNC13D;DNAJA3;MAP3K8;OLFM4;ARID1A;RAC3;KIF26B;SMARCA2;AKT1;FYN;SKAP1;ICOS;ITPKB;B2M;CCN1;HLA-DOA;IL23A;TNFSF14;CASS4;EGR3;COL16A1;RHOD;BTN2A2;GFUS;SOX13;CX3CL1;LEP;JUP;PRKCQ;STX4;EFNB1;ETS1;MAP4K4;TGFBR2;MYO10;CD4;PTPRC;CSPG5;ABL1;FSTL3;IGF2;CD209;PNP;LILRB1;NOD2;HLA-DRA;TNFSF18;LDB1;HLA-DRB5;ELANE;SHB;SMARCD2;WNT3A;SERPINF2;SRC;BRD2;IHH;CD36;SOCS5;C1QBP;FOXA2;PDCD1LG2;BRD4;SIRPG;CD276;CD63;FBLN1;RRAS;PRKCE;HLA-DMB;EP300;VCAM1;ALOX5;IL23R;CD1D;PCK1;AGER;CD74;EGFL6;SPOCK2;VEGFA;GLI2;CD81;HLA-DPA1;HAS2;CCL2;VTN;CHRD;DOCK8"
"GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",1.16378133601425e-18,4.73465040201798e-16,1.11466447751729,0.423533788624973,2.35150154641197,371,"HLX;LAG3;CD244;FUT7;NCF1;JUNB;TBX21;TICAM1;PKN1;ZNF683;ULBP3;STXBP2;NCR3;RASGRP4;ZC3H12A;WAS;ARID5A;SUPT6H;CX3CR1;CFP;TRAF2;CD177;CD300A;FES;GAB2;VAV1;TNFRSF1B;CUEDC2;KLRB1;CD5L;KLHL22;ZBTB7B;S100A9;STAT6;IL12RB1;NFKBIZ;CD7;EPHB2;GATA3;CCL19;HLA-B;HLA-DRB1;HLA-E;SLC15A4;TNFRSF14;MAD2L2;TNFRSF4;SHLD1;CD37;FCN1;TIGIT;BATF;IL2RG;SASH3;PRAM1;BCL6;LILRB4;MYO18A;CD22;RARA;C3;NFKBID;CRTAM;IL4I1;FGR;ARRB2;PHB2;DDRGK1;STAT5B;ASCL2;SPHK2;DUSP22;C4A;IL1B;CLCF1;SPON2;CD69;PTPN6;RAC2;IFNG;SLC7A5;FOXP3;SECTM1;TRIL;IL12A;RAET1G;ITGB2;IL6;IRF4;CAMK4;TGFB1;NECTIN2;LBP;FFAR2;IL10;JAK3;IL27RA;USP5;BCR;STAT5A;TNFSF13;UNC13D;SEMA7A;HLA-F;MAPK3;DHX58;INPP5D;RIPK3;SPI1"
"GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY",9.53985001515729e-18,3.58258059799984e-15,1.0864405425825,0.422900883341587,2.35301273333809,366,"LAG3;PIK3CD;FCHO1;BTN3A2;BCAR1;NAGLU;LILRA2;TICAM1;ICOSLG;ZNF683;TRBC1;NCR3;NINJ1;LCK;ZC3H12A;CSK;ZAP70;BAG6;NFAM1;CD300A;VAV1;LILRA1;CD8A;SQSTM1;LIME1;DGKZ;NFKBIZ;GATA3;SH2B2;ADA;TNIP2;LIMK1;HLA-DRB1;UBASH3A;CMTM3;TNFRSF14;PRKD2;BTNL3;IRAK1;LILRB2;CARD11;CD8B;IGLC7;STK11;FCMR;TNFAIP3;FCN1;IRAK2;CD5;CD247;NFKBIA;BTN3A1;SLA2;PRAM1;RBCK1;LILRB4;HLA-DQB1;CD22;TRBC2;C3;NFKBID;CCR7;FGR;BAX;IRF3;DUSP22;CD72;TRAC;IKBKG;LILRA5;CREBBP;LAT2;CD3D;CD3E;PTPN6;CLEC2B;IFNG;FOXP3;ECSIT;TRIL;MAP2K7;RELA;NECTIN2;LBP;FFAR2;CD14;TRDC;BTN3A3;TRGC1;CYBA;INPP5D;CMKLR1;HCK;AKT1;FYN;SKAP1;MYO1G;THEMIS;PRKCH;NOS2;PLCG2;BTN2A2;PHPT1;FCAR;VAV2;FYB1;ZNRF1;C5AR1;PLD2;BMX;PRKCQ;FCGR3B;NFKB1;CD33;KHDRBS1;CD19;TYROBP;PELI1;PIK3AP1;CD79B;CD4;PTPRC;CLEC6A;ABL1;TNIP3;CR2;CLEC4E;FCER1G;LILRB1;CD3G;CD40;IGHA2;ITGAM;SHB;SPPL3;TRAF3;NR1H3;EIF2B5;SH2D1A;SRC;CD36;THEMIS2;ELF1;CD79A;PDCD1LG2;TRGC2;CD276;LILRB5;BTNL8;ITK;LILRB3;PRKCE"
"GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",2.37978513336057e-17,8.29865072933306e-15,1.07686819261983,0.483263639728541,2.5285653034351,223,"HLX;LAG3;TNFSF9;JUNB;SART1;RUNX3;TBX21;ZNF683;LCK;ZC3H12A;SLC4A2;VSIR;ZAP70;PSMB10;ADAM8;NFAM1;ID2;ZBTB7B;AMBRA1;ZMIZ1;IL12RB1;ZFP36L1;NFKBIZ;GATA3;CCL19;ADA;HLA-DRB1;LILRB2;CARD11;SMARCD3;BATF;IL2RG;SASH3;BCL6;LILRB4;SOX12;RARA;NFKBID;CRTAM;IL4I1;DDRGK1;VNN1;STAT5B;ASCL2;SMARCD1;TCF7;SOX4;KLHL25;AP3D1;CLPTM1;SMARCB1;SOCS1;CD69;PTPN6;MMP14;IFNG;FOXP3;SMARCA4;CD83;IRF4;CAMK4;PSMB8;TGFB1;IL10;JAK3;STAT5A;IRF1;INPP5D;SPI1;ARID1A;SMARCA2;CD2;DTX1;ITPKB;HLA-DOA;IL23A;CYP26B1;EGR3;PGLYRP1;BTN2A2"
"GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT",1.98243890573707e-16,6.45217782520559e-14,1.04762648849882,0.406201581661059,2.26554040419357,386,"RGS14;GPR68;HLX;IL2RB;HSF1;TNFSF9;SART1;RUNX3;ANAPC2;CSF1;IL34;RPTOR;NOTCH1;LCK;VSIR;ZAP70;CX3CR1;ZNF335;ADAM8;FOS;ZFYVE27;FES;TNFRSF1B;ID2;ZBTB7B;AMBRA1;CUX2;ZMIZ1;TWF2;TNFRSF11A;IL12RB1;PLXND1;ZFP36L1;NFKBIZ;EPHB2;GATA3;EEIG1;CCL19;ADA;HCLS1;LIMK1;HLA-DRB1;TGM2;LILRB2;SMARCD3;STK11;MAP2K2;CUL7;IL2RG;SASH3;SRRT;BCL6;LILRB4;SOX12;RARA;CLDN5;STK25;NFKBID;MEGF8;IL4I1;MAG;SIRT2;DDRGK1;BMP2;VNN1;EGR2;STAT5B;SMARCD1;TRIB1;SOX4;KLHL25;DBN1;AP3D1;LIF;WNT2;NUMBL;IL1B;CLCF1;TRPV2;SMARCB1;MME;SOCS1;MMP14;IFNG;SLC7A5;FOXP3;SMARCA4;CD83;IL6;TGFB1;IL10;SMO;STAT5A;MYRF;HAX1;SEMA7A;TNFRSF12A;INPP5D;SPI1;TSPO;ARID1A;SMARCA2;ITPKB;IL4R;BIN1;IL23A;S1PR2;ROBO3;HAP1;EGR3;PRKCH;CD101;BTN2A2;L1CAM;SOX13;METRN;CX3CL1;GDI1;RNF112;SRF;TYROBP;HDAC1;SHANK3;FXR2;TGFBR2;CD4;PTPRC"
"GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS",4.74300898414104e-16,1.44721061628603e-13,1.02766987054358,0.507316134061625,2.5866503289591,185,"GPR68;HLX;IL2RB;HSF1;TNFSF9;SART1;RUNX3;CSF1;IL34;RPTOR;LCK;VSIR;ZAP70;ADAM8;FOS;FES;ID2;ZBTB7B;AMBRA1;ZMIZ1;TNFRSF11A;IL12RB1;ZFP36L1;NFKBIZ;GATA3;EEIG1;CCL19;ADA;HCLS1;HLA-DRB1;LILRB2;SMARCD3;IL2RG;SASH3;BCL6;LILRB4;SOX12;RARA;NFKBID;IL4I1;DDRGK1;VNN1;STAT5B;SMARCD1;TRIB1;SOX4;KLHL25;AP3D1;LIF;SMARCB1;SOCS1;MMP14;IFNG;FOXP3;SMARCA4;CD83;TGFB1;IL10;STAT5A;HAX1;INPP5D;SPI1;ARID1A;SMARCA2;ITPKB;IL4R;IL23A;EGR3;CD101;BTN2A2"
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION",1.74209070888555e-15,5.00287461222309e-13,1.01754479730988,0.435886421392275,2.33975656230125,281,"WNT11;LAG3;HSF1;TBX21;CACTIN;PTGER4;ZNF683;HDAC7;ABCD1;RPS6KA4;ZC3H12A;HOMER3;CSK;VSIR;CX3CR1;RNF125;SIGIRR;GIT1;OTUD5;CUEDC2;KLHL22;CPTP;EPHB2;GATA3;KLF2;GPATCH3;HLA-DRB1;RNF216;TNFRSF14;RELB;TNFAIP3;NLRX1;ZFPM1;NFKBIA;TIGIT;SELENOS;BCL6;LILRB4;MAP2K5;RARA;ATG9A;CCR7;ZFP36;ARRB2;BPI;NPLOC4;PRKACA;LILRA5;IL1B;NLRP6;PTPN6;CLEC4A;IFNG;FOXP3;CD83;PML;KLF4;IL12A;IL6;RELA;TGFB1;ELF4;KAT8;LBP;SARS1;IL10;JAK3;IL27RA;MEFV;DDIT3;SIRPA;HLA-F;DHX58;INPP5D;TSPO;CMKLR1;CD96;GBA1;IL23A;POMC;MUL1;ARRB1;ORM1;PGLYRP1;BTN2A2;CX3CL1;NFKB1;CD33;TYROBP;HMOX1;BCL3"
