"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_IMMUNOGLOBULIN_COMPLEX",3.63531670709463e-46,2.39203839326826e-43,1.76830432671752,0.80938014126523,3.46463266977429,124,"IGLC3;IGHG1;IGLV2-14;IGHG2;IGLV3-1;IGHV4-59;IGHV5-51;IGHV4-61;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-73;IGHV3-23;IGLV2-8;IGLV1-40;IGKC;IGHV3-21;IGHG4;IGLV3-25;IGKV4-1;IGLV2-11;IGKV1-17;IGHG3;IGHA1;IGKV3-20;IGHV3-66;IGLC2;IGLV6-57;JCHAIN;IGLV7-46;IGLV2-23;IGHM;IGLV1-44;IGLV3-12;IGHV3-64;IGHV3-11;IGLV3-19;IGLV4-69;IGHV3-7;IGHV1-18;IGKV1-9;IGHV3-48;IGHV4-34;IGKV3D-11;IGKV6-21;IGHV3-43;IGLV8-61;IGKV1-5;IGHV3-49;IGLV1-51;IGHV2-5;IGHV4-28;IGHV3-33;IGKV3D-20;IGLV1-50;IGKV3D-15;IGLV3-10;IGKV1-27;IGKV1D-8;IGLV1-36;IGHV2-26;IGHV4-4;IGKV1-8;IGLL1;IGKV1D-13;IGHV3-64D;IGLV2-18;IGLC6;IGHV1-58;IGHV6-1;IGKV1-39;IGKV1-6;IGHV3-15;IGHV3-74;IGLL5;IGHV3-72;IGLV3-9;CD79A;IGHV1-3;IGHV3-20;IGKV2D-29;IGKV1D-39;IGLV7-43;IGKJ1;IGHV5-10-1;IGHV3-13;IGKV1-12;IGLV3-16;IGLV4-3;IGKV2D-24;IGKV1D-17;IGKV2-24;IGKV5-2;IGHV1-24;IGKV1-16;IGHV1-45;IGKV1D-42"
"GOCC_AXONEME",3.68159732855548e-26,1.21124552109475e-23,1.32671609800481,0.592605248372923,2.70080181377294,220,"GLI1;EFHC2;CFAP54;CENPF;RPGRIP1L;WDPCP;MNS1;DNAH7;LCA5;CFAP210;CLXN;FBXL13;DZIP1L;PIERCE2;BBOF1;EFCAB6;TOGARAM1;DNAH6;CFAP263;DNAI4;NPHP1;DYNC2H1;CCDC181;DNAI7;CFAP161;MYCBPAP;DNALI1;SPATA7;NME5;DYDC1;CCDC146;SPACA9;IQUB;EFHB;NME7;IQCA1;CCDC40;AK8;WDR35;CFAP95;DNAH3;RSPH4A;SPAG17;SAXO2;DNAI3;DRC3;CFAP53;SPATA4;CFAP300;CFAP57;DNAL1;IQCG;LCA5L;MAK;CFAP46;IQCD;RSPH10B;CFAP43;RIBC1;DNAH9;ENKUR;CFAP77;ODAD2;CCDC65;CFAP251;PACRG;CFAP126;DNAAF19;ODAD3;DYDC2;DNAH12;DNAJB13;RIBC2;SPAG6;DNAH2;SPAG16;RSPH10B2;ODAD4;CFAP90;KIF9;HYDIN;BBS7;NME9;RSPH9;CFAP61;CFAP74;SPAG8;DNAI1;SEPTIN2;DNAAF1;RSPH14;EFHC1;IFT70B;ERICH3;CFAP276;MAP1LC3B;RSPH3;CFAP52;TEKT2;PIERCE1;CIMIP2C;DYNLT2B;TCTE1;DNAH10;TEKT1;CCDC17;CFAP100;CFAP107;CFAP91;KATNIP;CCDC39;RSPH1;BBS5;KIF19;TEKT3;TTLL3;CIMIP2B;IFT172;BRWD1;CCDC66;DNAI2;CFAP184;C1orf87;DRC1;DNAH11;GLI3;DNAH5;ROPN1L;CFAP45;CFAP144;CFAP65;MAPK15;DRC7;RP1;TULP3;CFAP70;IFT70A;CFAP141;DYNLT4;AKAP14;TRAF3IP1;TTLL6;USP9X;CFAP73;TTLL1;CFAP20;DYNC2LI1;TEKT4;ODAD1;DNAH1;SAXO4;STK36;TTC21B;CFAP36;PIK3R4;SPEF1;CFAP221;CEP162;CCDC13;CFAP119;CFAP44;ARFGEF2"
"GOCC_MOTILE_CILIUM",3.00524539075318e-22,6.59150489038532e-20,1.22105375677186,0.542771439496725,2.51270555366425,263,"SLC9B2;CABYR;EFHC2;CFAP69;HIF1A;IFT52;MNS1;FSIP2;DNAH7;IFT81;CFAP210;CLXN;BBS9;ACTA2;PIERCE2;BBOF1;EFCAB6;CCDC34;DNAH6;DNAI4;NPHP1;DYNC2H1;CCDC181;CFAP161;MYCBPAP;DNAAF11;DNALI1;SPATA7;NME5;DYDC1;TSGA10;CCDC146;SPACA9;IQUB;EFHB;NME7;SPEF2;CCDC40;CFAP58;AK8;ZMYND12;CFAP95;CETN2;DNAH3;RSPH4A;SAXO2;DRC3;CFAP53;CFAP300;CFAP57;IQCG;NEK5;MAK;RSPH10B;CFAP43;RIBC1;DNAH9;TCP11;TACR1;ENKUR;HAVCR1;CFAP77;CCDC65;SPA17;SPMIP6;CFAP251;PACRG;CFAP126;BBS4;DNAAF19;DNAH12;TMEM232;SEPTIN6;DNAJB13;RIBC2;SPAG6;DNAH2;CATSPERD;SPAG16;RSPH10B2;ODAD4;CFAP90;KIF9;IFT27;HYDIN;ADGB;ABHD2;RSPH9;CFAP61;CFAP74;SPAG8;DNAI1;LRRC23;SEPTIN2;RSPH14;EFHC1;LRRC46;CFAP276;RSPH3;CFAP52;TEKT2;PIERCE1;TTC29;CIMIP2C;SORD;CATSPERB;INTU;CABCOCO1;FHAD1;IFT74;BBS2;TCTE1;DNAH10;TEKT1;MORN5;IFT46;CFAP100;CFAP107;CFAP91;KATNIP;CCDC39;RSPH1;PKD2;TEKT3;TTLL3;ANXA1;IFT172;BRWD1;SPATA6;DNAI2;ROPN1B;AK7;CFAP99;DRC1;DNAH11;DNAH5;ROPN1L;CFAP45;CFAP144;CFAP65;DRC7;CATSPERE;AK9;DEFB1;ATP2B4;CFAP70;CIBAR1;DRD2;CFAP141;DYNLT4;PMFBP1;CFAP73;TTLL1;CFAP20;SLC9B1;DYNC2LI1;VPS13A;WDR54;TEKT4;DNAH1;SAXO4;CFAP36;CALM2;IFT88;ATP1B1;SPEF1;CFAP221;HSP90AA1;CFAP119;CFAP44;TACR2"
"GOCC_9PLUS2_MOTILE_CILIUM",3.04743762673731e-19,5.01303489598288e-17,1.13308993200902,0.548392976339719,2.49228370184724,210,"SLC9B2;CABYR;EFHC2;CFAP69;MNS1;FSIP2;DNAH7;IFT81;CFAP210;CLXN;BBS9;PIERCE2;BBOF1;EFCAB6;CCDC34;DNAH6;DYNC2H1;CCDC181;CFAP161;MYCBPAP;DNALI1;SPATA7;NME5;DYDC1;TSGA10;CCDC146;SPACA9;IQUB;EFHB;NME7;SPEF2;CFAP58;AK8;ZMYND12;CFAP95;CETN2;DNAH3;RSPH4A;SAXO2;DRC3;CFAP53;CFAP57;IQCG;NEK5;RSPH10B;CFAP43;RIBC1;DNAH9;TCP11;TACR1;ENKUR;CFAP77;SPA17;SPMIP6;CFAP251;PACRG;CFAP126;DNAH12;TMEM232;SEPTIN6;DNAJB13;RIBC2;SPAG6;DNAH2;CATSPERD;SPAG16;RSPH10B2;ODAD4;CFAP90;KIF9;IFT27;HYDIN;ADGB;ABHD2;RSPH9;CFAP61;CFAP74;SPAG8;DNAI1;LRRC23;SEPTIN2;RSPH14;EFHC1;LRRC46;CFAP276;RSPH3;CFAP52;TEKT2;PIERCE1;TTC29;CIMIP2C;CATSPERB;CABCOCO1;FHAD1;TCTE1;DNAH10;TEKT1;MORN5;CFAP107;KATNIP;RSPH1;TEKT3;TTLL3;IFT172;DNAI2;AK7;DRC1;DNAH11;DNAH5;ROPN1L;CFAP45;CFAP144;CFAP65;CATSPERE;DEFB1;ATP2B4;CFAP70;CIBAR1;DRD2;CFAP141;DYNLT4;PMFBP1"
"GOCC_CYTOPLASMIC_REGION",5.52043653888922e-15,7.26489448517822e-13,0.99698621753318,0.449776235603978,2.13971192357038,335,"CTNNB1;RIMS2;DLG2;GLI1;NETO1;EFHC2;CFAP54;KIF5C;CENPF;RPGRIP1L;GRIK2;HIF1A;WDPCP;MNS1;DNAH7;LCA5;CFAP210;MAP1A;CLXN;FBXL13;DZIP1L;PIERCE2;BBOF1;EFCAB6;TOGARAM1;DNAH6;CFAP263;GPSM2;DNAI4;NPHP1;DYNC2H1;CCDC181;DNAI7;CFAP161;MYCBPAP;DNALI1;SPATA7;NME5;DYDC1;CCDC146;SPACA9;IQUB;KIF3A;EFHB;NME7;IQCA1;CCDC40;AK8;WDR35;CFAP95;DNAH3;RSPH4A;SPAG17;SAXO2;DNAI3;DRC3;CFAP53;SPATA4;CFAP300;CFAP57;DNAL1;IQCG;LCA5L;MAK;CFAP46;IQCD;RSPH10B;CFAP43;RIBC1;DNAH9;ENKUR;CFAP77;ODAD2;CCDC65;CFAP251;PACRG;CFAP126;DNAAF19;ODAD3;DYDC2;DNAH12;DNAJB13;ERC2;RIBC2;SPAG6;AGBL4;ARMC10;DNAH2;SPAG16;RSPH10B2;ODAD4;CFAP90;KIF9;HYDIN;BBS7;NME9;RSPH9;CFAP61;CFAP74;SPAG8;DNAI1;SEPTIN2;DNAAF1;RSPH14;EFHC1;KIF4A;IFT70B;ERICH3;CFAP276;MAP1LC3B;RSPH3;DST;CFAP52;TEKT2;PIERCE1;CIMIP2C;DYNLT2B;ARMCX2;TCTE1;DNAH10;TEKT1;CCDC17;CFAP100;CFAP107;CFAP91;KATNIP;CCDC39;AP3B1;RSPH1;BBS5;PKD2;KIF19;TEKT3;KIF21A;TTLL3;ARMCX6;CIMIP2B;IFT172;BRWD1;CCDC66;DNAI2;CFAP184;C1orf87;DRC1;DNAH11;GLI3;DNAH5;ROPN1L;CFAP45;CFAP144;CFAP65;MAPK15;DRC7;RP1;TULP3;CFAP70;IFT70A;ERC1;CLASP1;CFAP141;DYNLT4;SYBU;AKAP14;TRAF3IP1;TTLL6;USP9X;KIF5A;CFAP73;SPAST;TTLL1;CFAP20;DYNC2LI1;OPA1;TEKT4;ODAD1;DNAH1;SAXO4;STK36;STAU2;TTC21B"
"GOCC_SPECIFIC_GRANULE",2.2577663749149e-11,2.47601712449001e-09,0.863415391606693,-0.464721781060919,-2.30163092930207,154,"CD36;STX3;PTPRJ;MMP25;PDXK;AGPAT2;ORM2;DNAJC5;SLCO4C1;STXBP2;CNN2;CD177;ORM1;STK10;OLFM4;TSPAN14;TOM1;ATP8A1;ITGAL;AP1M1;PTPN6;PGLYRP1;FOLR3;TRPM2;LAMTOR1;CTSD;ACAA1;VAMP8;ANXA3;ARG1;GSDMD;TNFRSF1B;KCNAB2;TMC6;PTPRB;GHDC;ADGRG3;ANXA11;CFP;MCEMP1;SLC44A2;CLEC12A;CEACAM3;HP;ORMDL3;LAMTOR2;LAIR1;ITGB2;CAMP;CD47;RAB27A;OSCAR;BPI;TOLLIP;LAMTOR3;SNAP23;STX4;RAP1A;RETN;CYBA;HPSE;HVCN1;ATP11A;CD59;CD33;LRG1;ALDH3B1;JUP;SLC15A4;DGAT1"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX",1.10437926747354e-10,1.03811651142513e-08,0.839088935621274,-0.446305164520214,-2.25527112526854,174,"MRPL14;TIMM44;MPC1;DNAJC15;AURKAIP1;MRPS34;MRPL41;TIMM13;MRPS7;MRPS15;MRPL34;MRPL28;TOMM40;MRPS16;POLRMT;MRPL54;PHB1;MRPL12;MRPL20;TMEM186;MRPL27;MICOS13;GRPEL1;MRPS18C;MRPL4;MRPL10;MRPS26;TIMM50;MRPL57;TOMM40L;ECSIT;MRPL22;TIMM17B;GRPEL2;GADD45GIP1;DNAJC11;MRPL49;TRABD;TIMM10B;MRPL16;MRPS2;MRPL39;ACAD9;TIMM10;HSD17B10;CHCHD6;MRPL11;CHCHD10;MRPS17;AFG3L2;MRPL52;UQCRC1;TIMM29;SLC25A5;PPIF;MRPL23;POLG;NDUFAB1;PHB2;MRPL32;CHCHD1;MRPL55;MRPL9;PMPCA;MRPL17;SPG7;TMEM126B;TOMM7;MRPS23;BAX;ISCA2;MRPL51;TOMM5;MRPL44;MRPL37;MRPS28;MRPL21;TIMM8A;MRPL2;TIMM8B;MUL1;MRPS22;MRPL48;CHCHD3;TRMT10C;ROMO1;MRPL18;MRPL24;MICU2;MRPS21;MRPL15;MRPS9;MICU1"
"GOCC_RIBOSOMAL_SUBUNIT",1.30336155089943e-10,1.07201487561478e-08,0.826657301178302,-0.43538187899611,-2.20336286610996,175,"MRPL14;AURKAIP1;MRPS34;MRPL41;MRPS7;MRPS15;MRPL34;MRPL28;MRPS16;MRPL54;MRPL12;MRPL20;MRPL27;RPS26;MRPS18C;MRPL4;RPSA;MRPL10;MRPS26;MRPL57;MRPL22;RPLP2;GADD45GIP1;RPL35;MRPL49;MRPL16;MRPS2;MRPL39;RPS15;RPL36;MRPL11;RPL14;MRPS17;MRPL52;UBA52;RPL13;RPL27A;RPL37A;RPS19;RPSA2;MRPL23;RPS12;RPL18;RPS27;RPL9;RPS25;MRPL32;CHCHD1;MRPL55;RPL41;RPS3;MRPL9;MRPL17;RPL36AL;RPS9;RPL11;RPS28;MRPS23;RPL18A;RPLP1;FAU;MRPL51;RPL8;MRPL44;MRPL37;MRPS28;MRPL21;RPS21;MRPL2;MRPS22;RPS11;MRPL48;RPL38;RPL23A;RPS7;MRPL18;RPS16;RPS24;RPL29;MRPL24;RPS4Y1;MRPS21;MRPL15;MRPS9;RPL26;RPS13;RPL28;RPL37;MRPL43;MRPL36;RPL7A;TIFAB;RACK1;RPS2;RPL10;MRPL58;MRPL30"
"GOCC_RESPIRATORY_CHAIN_COMPLEX",5.68134505774628e-10,4.1536944977745e-08,0.801215574617779,-0.511652455222487,-2.36300102825416,104,"MT-ND1;NDUFV1;DMAC2L;MTCO2P12;NDUFA3;CYC1;MT-ND6;NDUFS8;MT-ND2;COX6B1;UQCRHL;NDUFA9;MT-ND5;NDUFB9;NDUFS2;NDUFB7;NDUFA12;MT-CO2;COX8A;ATP5F1D;SDHA;SDHB;NDUFS6;ATP5MC1;NDUFA2;NDUFB6;ATP5PD;NDUFB11;NDUFV3;ATP5MJ;NDUFB3;UQCRC1;ATP5F1E;ATP5MG;MT-ND4;NDUFC2;COX7A1;MT-CYB;NDUFAB1;NDUFS7;UQCR10;ATP5MC2;ATP5MK;COX6C;COX4I1;COX5B;COX5A;UQCR11;ATP5MF;MT-ND3;ATP5PF;COX6A1;MT-CO3;ATP5MC3;MT-ND4L;ATP5PO;NDUFB10;SURF1;SDHD;ATP5ME;BCS1L;COX7C;COX7A2L;NDUFC1;NDUFS3;NDUFB8;MT-ATP6;UQCRFS1;NDUFB1;ATP5F1B;NDUFB2;MT-ATP8;COX4I2;NDUFA1;UQCRH"
"GOCC_RIBOSOME",1.37490569371813e-09,9.04687946466533e-08,0.788186810800237,-0.386514358097949,-1.99523350943793,222,"MRPL14;AURKAIP1;MRPS34;MRPL41;MRPS7;MRPS15;MRPL34;MRPL28;MRPS16;MRPL54;MRPL12;MRPL20;MRPL27;RPS26;MRPS18C;ASCC2;MRPL4;RPSA;MRPL10;MRPS26;MTG1;MRPL57;ETF1;MRPL22;RPLP2;GADD45GIP1;RPL35;MRPL49;MRPL16;MRPS2;MRPL39;RPS15;RPL36;MRPL11;RPL14;CALR;MRPS17;SERP1;MTG2;SF1;ISG15;MRPL52;UBA52;RPL13;RPL27A;RPL37A;RPS19;RPSA2;MRPL23;RPS12;RPL18;RNF25;RPS27;GCN1;RPL9;RPS25;MRPL32;CHCHD1;MRPL55;RPL41;RPS3;MRPL9;MRPL17;SRP68;RPL36AL;RPS9;RPL11;RPS28;MRPS23;RPL18A;FUBP3;RPLP1;FAU;MRPL51;RPL8;MRPL44;MRPL37;MRPS28;MRPL21;NCK1;RPS21;MRPL2;MRPS22;RPS11;MRPL48;RPL38;RPL23A;RPS7;MRPL18;RPS16;RPS24;RPL29;MRPL24;RPS4Y1;MRPS21;MRPL15;MRPS9;RPL26;RPS13;RPL28;RPL37;MRPL43;RNF14;MRPL36;RPL7A;TIFAB;GSPT1;RNF10;RACK1;RPS2;EIF4G1;RPL10;MRPL58;MRPL30"
"GOCC_LATE_ENDOSOME",2.04539256526417e-09,1.22351664358529e-07,0.774939030136436,-0.357957808432313,-1.93289926624013,310,"PCSK9;UNC13D;AP5B1;ABCA3;ARL8A;LAMP3;STARD3;MVB12B;AP5Z1;SPAAR;VPS4A;SFTPA2;RILP;SFTPA1;CLCN6;NOTCH1;MAPK3;CLCN4;SIGLEC1;SFTPD;ANKRD27;ARAP1;VTI1B;VAMP5;SFTPB;ACP3;ATP13A4;VPS18;TMEM192;LRRK2;IFITM2;ANKRD13D;CTNS;STOML1;MAP2K2;LAMTOR1;RNF128;CHMP6;HGS;KCNK6;TSPAN15;HLA-DQA2;UBXN6;HTT;LAMTOR4;VAMP8;SLC30A3;TMEM163;PRKAR1B;STARD3NL;IFITM3;SLC1A1;TCIRG1;CHMP2A;BLTP3A;HDAC6;AP5S1;MTMR4;WDR81;LAMTOR5;SNF8;GOSR2;VPS16;CTSH;KCNQ1;NAPSA;LAMP1;CST7;CHMP1A;ARL8B;VPS29;ABHD6;NPC1;VPS33B;NEDD4L;VAC14;LDLR;LAMTOR2;STX8;RNF149;CLEC16A;RAB27A;MCOLN1;VPS37B;MON1B;MON1A;SQSTM1;LAMTOR3;DDIT3;HLA-DMA;BST2;SFTPC;RAP1A;MAP2K1;MICALL1;SLC11A1;RAB11A;RAB7A;PSEN2;IGF2R;IL12A;ATP13A2;TTPA;MCOLN2;VPS37C"
"GOCC_AXONEMAL_DOUBLET_MICROTUBULE",2.55367215595993e-09,1.32504167431807e-07,0.774939030136436,0.698450126899147,2.41430304843224,41,"EFHC2;MNS1;CFAP210;PIERCE2;EFCAB6;CFAP161;SPACA9;EFHB;NME7;CFAP95;DRC3;CFAP53;RIBC1;ENKUR;CFAP77;PACRG;CFAP126;RIBC2;CFAP90;SPAG8;EFHC1;CFAP276;CFAP52;TEKT2;PIERCE1;CIMIP2C;TEKT1;CFAP100;CFAP107;TEKT3;CFAP45;CFAP144;CFAP141;CFAP73;CFAP20;TEKT4;SAXO4"
"GOCC_IGG_IMMUNOGLOBULIN_COMPLEX",2.61786349029406e-09,1.32504167431807e-07,0.774939030136436,0.922078317807986,2.40968542135458,12,"IGLC3;IGHG1;IGHG2;IGKC;IGHG4;IGHG3;IGHA1;IGLC2;IGLL1;IGLC6;IGLL5"
"GOCC_BASEMENT_MEMBRANE",4.48079379873722e-09,2.10597308540649e-07,0.761460801445585,0.555201466044329,2.27081786441272,96,"ENTPD1;HMCN1;COL17A1;COL15A1;FREM1;COL24A1;COL18A1;COL22A1;EFNA5;TNC;COL7A1;EGFLAM;FN1;COL4A6;SMOC1;CCDC80;EGFL6;HMCN2;NTN1;FBN1;ITGB4;COL4A5;COL8A1;LOXL1;THBS2;ACTA2;MATN2;ENTPD2;THBS4;FREM3;LOXL2;TGFBI;CASK;HSPG2;COL16A1;SPARC;COL8A2;FBLN1;PAPLN;COL5A1;SMOC2;ADAMTS1;DST;COL4A1;AMTN"
"GOCC_AXONEMAL_MICROTUBULE",8.54802618391816e-09,3.74973415267876e-07,0.747739663149885,0.672124279299095,2.39537821667335,47,"EFHC2;MNS1;CFAP210;PIERCE2;EFCAB6;CFAP161;SPACA9;EFHB;NME7;CFAP95;SAXO2;CFAP53;RIBC1;ENKUR;CFAP77;PACRG;CFAP126;RIBC2;CFAP90;KIF9;SPAG8;EFHC1;IFT70B;CFAP276;CFAP52;TEKT2;PIERCE1;CIMIP2C;TEKT1;CFAP107;TEKT3;CIMIP2B;CFAP45;CFAP144;IFT70A;CFAP141;CFAP20;TEKT4;SAXO4"
"GOCC_AZUROPHIL_GRANULE",1.30464879682108e-08,5.08622420753662e-07,0.747739663149885,-0.428989329079898,-2.11379683514236,149,"UNC13D;STX3;ARHGAP45;ARL8A;BRI3;FABP5;ORM2;DNAJC5;SLCO4C1;STXBP2;GCA;PRTN3;OLFM4;RNASE3;DEFA3;TOM1;MPO;ATP8A1;ACP3;RAB5C;RAB3D;LAMTOR1;PRKCD;RNASE2;IMPDH1;VAMP8;ARG1;FTL;ANXA11;PRDX6;ACLY;LAMP1;NFAM1;ACTR10;MGST1;PTGES2;DPP7;VAT1;TRAPPC1;BPI;NAPRT;ARSA;TOLLIP;SNAP23;TMEM179B;BST2;LPCAT1;RETN;MNDA;PIGR;AZU1;CREG1;PADI2"
"GOCC_EARLY_ENDOSOME",1.31407008401402e-08,5.08622420753662e-07,0.747739663149885,-0.311331837875644,-1.7081568114874,425,"FZD5;PCSK9;EHD1;RAB17;ADRB2;HSD17B6;LAMP3;SNX8;HPS6;AGER;CD274;MVB12B;PLEKHJ1;VPS4A;GRIA1;WNT3A;RAB20;C1orf210;LDLRAP1;MAPK3;CLCN4;SIGLEC1;ANKRD27;TOM1;ARAP1;VTI1B;DBNL;ATP13A4;PHETA1;RAB5C;FCGR1BP;VPS18;GGA3;AP1M1;PTPN23;CTNS;TLR3;MAP2K2;MME;RAB32;GGA1;HGS;GGA2;AP3D1;UBXN6;HTT;TLR4;VAMP8;TMEM163;FGD5;ADRB1;SNX30;MIB2;APOA1;NUMB;CORO1A;GPER1;IFITM3;SLC1A1;PTP4A2;SNX20;ARC;PHB1;SNX1;ACKR4;SNX17;DTX3L;ABCA7;MTMR4;WDR81;SNX4;CLCN5;TRAK2;VPS16;MGRN1;EHD2;PI4K2A;KCNQ1;SNX5;PLEKHF1;TMEM63B;CHMP1A;LMTK2;ARL8B;SH3GL2;REP15;TPCN1;RAB5B;PML;VPS29;HLA-E;ATP6V0D1;BLOC1S1;HLA-F;VPS33B;GATD1;ASAH1;VAC14;LDLR;FLOT1;TMEM9B;RCSD1;STX8;SNX12;PLA2G4E;BOK;CFTR;SAMD9L;FCGR1A;TOLLIP;WASHC2A;AP1B1;FGD2;SNX27;TICAM1;TBC1D16;RAP1A;RAB4B;MAP2K1;FKBP15;MICALL1;KDR;CLN6;ATP11A;PSEN2;TGFBRAP1;IGF2R;CAV1;SNX21;NF2;VAMP3;DAGLA;PPP1R21;HLA-G;WASF2;ENTR1;PLD3;ARRDC4;STX12;DYSF;STAM;WASHC2C;ZFYVE26;SLC15A4;CLEC10A;ENTREP1;SH3GL3;RIN3;WASHC1;RAPGEF1;HLA-B;CCDC93;SH3GL1;MAPKAP1;PTPN1;TBC1D2B;PLA2G4B;RABEP2;VPS26A;NCSTN;HPS5"
"GOCC_VESICLE_LUMEN",2.07056353159582e-08,7.56906002105581e-07,0.73376198835648,-0.343101743198119,-1.84721526181471,308,"UNC13D;S100A8;ARHGAP45;S100A9;FGR;PDXK;FABP5;ORM2;CNN2;S100A12;PYGL;ORM1;GCA;PRTN3;OLFM4;HSPA6;TOR4A;RNASE3;DEFA3;FERMT3;VTI1B;MPO;DBNL;HK3;FCN1;PTPN6;COMMD9;PSMC3;PGLYRP1;FOLR3;GMFG;CTSD;BIN2;MAPK14;PRKCD;ACAA1;SERPINF2;RNASE2;IMPDH1;ARG1;PSMD13;GSDMD;DERA;APOA1;MVP;GHDC;VEGFA;OSTF1;VEGFD;APRT;FTL;PFKL;ARPC5;CFP;ADM;PRDX6;VEGFC;CTSH;TIMP4;ACLY;PRF1;PSMD11;PSMD3;RARRES2;C1orf35;VWF;VEGFB;ALDOC;HP;ACTR10;ARHGAP9;PSMB7;PTGES2;DPP7;PSMB1;VAT1;CAMP;APOH;RAB27A;OSCAR;TRAPPC1;BPI;NAPRT;ARSA;ITIH4;TOLLIP;FGA;EGF;GSTP1;CTSW;POMC;RETN;CLEC3B;HPSE;GHRL;MNDA;TEX264;AZU1;CSTB;CREG1;PADI2"
"GOCC_CILIARY_BASAL_BODY",2.93281892336088e-08,1.01568150082708e-06,0.73376198835648,0.431733078342941,1.96454769261347,216,"EFHC2;CENPF;MLF1;PRKAA2;RPGRIP1L;CKAP2;IFT52;DISC1;TTC8;LCA5;IFT81;KIF7;DZIP1;TOPORS;CSNK1A1;CCDC170;DZIP1L;BBOF1;TOGARAM1;CFAP263;KIAA0586;SPICE1;TTBK2;TTLL5;SPATA7;CCDC146;SPACA9;NME7;WHRN;FANK1;CEP128;IFT56;FAM161A;WDR35;C2CD3;CETN2;CILK1;SAXO2;DLG5;STIL;CCDC81;IQCD;KIF20B;CCDC65;CFAP126;BBS4;POC1B;ODAD3;IQCB1;AGBL4;AGBL2;CFAP90;BBS7;TBC1D31;EVC;GAS2L2;CIMAP3;MPHOSPH9;TTLL9;TTLL11;INTU;NEDD1;IFT74;BBS2;IFT46;CEP41;RABL2B;CFAP100;KATNIP;RUVBL1;CIBAR2;BBS5;PKD2;CEP78;IFT172;CCDC66;CFAP184;C11orf97;ODF2L;CEP43;PKHD1;MAPK15;CEP192;CFAP157;CFAP70;CIBAR1;GNAI1;CCDC178;ERC1;DAW1;CEP19;TRAF3IP1;TTLL6;KIF2A;SCLT1;SSX2IP;CEP44;JADE1;CEP350;TTLL1;CFAP20;DYNC2LI1;CCDC88A;MKS1;SAXO4;CDC45;IFT88;CEP170;SPAG5;AHI1;FBXW8;CCDC13;CPLANE2;ODF2;NIN;CETN3;ALMS1;B9D1;CEP250;WDR90;CBY1;DNAH14;EZR"
"GOCC_COMPLEX_OF_COLLAGEN_TRIMERS",4.50521254098328e-08,1.4822149259835e-06,0.719512826338911,0.707368339191455,2.33017975297978,32,"COL14A1;COL10A1;COL24A1;COL7A1;LUM;COL4A6;COL6A3;COL3A1;COL4A5;COL8A1;COL1A2;COL9A1;COL9A2;COL1A1;COL5A2;COL12A1;COL16A1;COL6A5;COL8A2;COL5A1;COL4A1"
"GOCC_SECRETORY_GRANULE_MEMBRANE",4.92725023556059e-08,1.54387174047565e-06,0.719512826338911,-0.339791376164501,-1.81931802343027,295,"CD36;STX3;PTPRJ;MMP25;ABCA3;CA4;ARL8A;BRI3;DOK3;LAMP3;FABP5;FLOT2;AGPAT2;DNAJC5;SLCO4C1;STXBP2;RHOG;NBEAL2;CD177;STK10;TSPAN14;TOM1;SERPINB6;ATP8A1;ACP3;ITGAL;RAB5C;AP1M1;RAB3D;SIRPA;ITGA2B;EXOC3;ATP6V0A1;TRPM2;MME;LAMTOR1;VAMP2;VAMP8;PTAFR;TBC1D10C;TNFRSF1B;LILRB2;KCNAB2;ACRBP;TMC6;PLA1A;PTPRB;TCIRG1;ADGRG3;RAB24;CYSTM1;FCER1G;RHOF;MCEMP1;SLC44A2;SIGLEC9;LAMP1;TMEM63B;ADGRE5;CXCR1;CLEC12A;RAB5B;NFAM1;CEACAM3;ORMDL3;MGST1;ITPR3;CYB5R1;MGAM;LAMTOR2;LAIR1;ITGB2;RHOA;IZUMO1;CD47;APLP2;TYROBP;CD14;LAMTOR3;CXCR2;SNAP23;TMEM179B;BST2;LPCAT1;RAP1A;RAB4B;ICA1;AP2A2;CD55;CYBA;SLC11A1;LILRB3;HVCN1;PIGR;RAB7A;ATP11A;AZU1;IGF2R;CAV1;SIGLEC14;ATAD3B;CD59;CAV2"
"GOCC_TERTIARY_GRANULE",7.47755844339789e-08,2.23646975261628e-06,0.704975715167238,-0.406318994560688,-2.01237902580944,154,"ARL8A;DOK3;STXBP2;CNN2;NBEAL2;CD177;ORM1;OLFM4;TSPAN14;SERPINB6;DBNL;PTPN6;SIRPA;PGLYRP1;ATP6V0A1;FOLR3;TRPM2;LAMTOR1;CTSD;VAMP8;PTAFR;TBC1D10C;GSDMD;LILRB2;KCNAB2;TMC6;PTPRB;TCIRG1;CYSTM1;CFP;FCER1G;MCEMP1;CTSH;LAMP1;CLEC12A;ALDOC;HP;ASAH1;PGM1;MGAM;LAMTOR2;LAIR1;ITGB2;CAMP;RHOA;CD47;OSCAR;LTA4H;LAMTOR3;SNAP23;TMEM179B;AP2A2;CD55;CYBA;SLC11A1;ATP11A;CSTB;SIGLEC14;ATAD3B;CD59;CR1;ITGAX;CD33;LRG1"
